"id_notes";"libelle_notes";"type_notes";"idtype_notes";"idclasse_notes";"idmat_notes";"idprof_notes";"ideleve_notes";"codeEtab_notes";"valeur_notes";"obser_notes";"session_notes";"typesess_notes";"date_notes";"niveau_notes";"cycle_notes";"sousmatiere_notes";"statut_notes";"coef_notes";"notecoef_notes";"nc_notes";"studentmat_notes";"code_notes";"matricule_notes"
"34";"interro1";"1";"33";"22";"14";"1750";"1498";"000279";"4";"Mauvais";"2020-2021";"1";"2021-02-01 06:22:56";"SIXIEME";"1ER CYCLE";"0";"0";"1";"4";"0";\N;\N;\N
"35";"interro1";"1";"33";"22";"14";"1750";"1507";"000279";"4";"Mauvais";"2020-2021";"1";"2021-02-01 06:22:58";"SIXIEME";"1ER CYCLE";"0";"0";"1";"4";"0";\N;\N;\N
"36";"interro1";"1";"33";"22";"14";"1750";"1514";"000279";"12";"Passable";"2020-2021";"1";"2021-02-01 06:22:59";"SIXIEME";"1ER CYCLE";"0";"0";"1";"12";"0";\N;\N;\N
"37";"interro1";"1";"33";"22";"14";"1750";"1833";"000279";"4";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:00";"SIXIEME";"1ER CYCLE";"0";"0";"1";"4";"0";\N;\N;\N
"38";"interro1";"1";"33";"22";"14";"1750";"1521";"000279";"0";"Excellent";"2020-2021";"1";"2021-01-30 22:37:02";"SIXIEME";"1ER CYCLE";"0";"0";"1";"0";"0";\N;\N;\N
"39";"interro1";"1";"33";"22";"14";"1750";"1520";"000279";"6";"Faible";"2020-2021";"1";"2021-02-01 06:23:02";"SIXIEME";"1ER CYCLE";"0";"0";"1";"6";"0";\N;\N;\N
"40";"interro1";"1";"33";"22";"14";"1750";"1527";"000279";"2";"Mauvais";"2020-2021";"1";"2021-02-01 06:23:04";"SIXIEME";"1ER CYCLE";"0";"0";"1";"2";"0";\N;\N;\N
"41";"interro1";"1";"33";"22";"14";"1750";"1530";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:23:07";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"42";"interro1";"1";"33";"22";"14";"1750";"1836";"000279";"8";"Faible";"2020-2021";"1";"2021-02-01 06:23:08";"SIXIEME";"1ER CYCLE";"0";"0";"1";"8";"0";\N;\N;\N
"43";"interro1";"1";"33";"22";"14";"1750";"1589";"000279";"6";"Faible";"2020-2021";"1";"2021-02-01 06:23:09";"SIXIEME";"1ER CYCLE";"0";"0";"1";"6";"0";\N;\N;\N
