29092;EVALUATION 6;1;1135;1;22;1755;243;279;8,5;Insuffisant;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;17;0;\N;\N;\N
29093;EVALUATION 1;1;1130;1;22;1755;252;279;16;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;16;0;\N;\N;\N
29094;EVALUATION 2;1;1131;1;22;1755;252;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29095;EVALUATION 3;1;1132;1;22;1755;252;279;17;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;34;0;\N;\N;\N
29096;EVALUATION 4;1;1133;1;22;1755;252;279;19;Excellent;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;1;19;0;\N;\N;\N
44594;EVALUATION 9;1;1138;1;22;1755;252;279;14;Bien;2020-2021;2;20/05/2021 09:32;SIXIEME;1ER CYCLE;0;0;2;28;0;\N;\N;\N
29098;EVALUATION 6;1;1135;1;22;1755;252;279;14;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;28;0;\N;\N;\N
29099;EVALUATION 1;1;1130;1;22;1755;258;279;20;Excellent;2020-2021;2;28/05/2021 10:55;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29100;EVALUATION 2;1;1131;1;22;1755;258;279;20;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;20;0;\N;\N;\N
29101;EVALUATION 3;1;1132;1;22;1755;258;279;18;Excellent;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;36;0;\N;\N;\N
29102;EVALUATION 4;1;1133;1;22;1755;258;279;15;Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;15;0;\N;\N;\N
29103;EVALUATION 5;1;1134;1;22;1755;258;279;16;Tr?s Bien;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;1;16;0;\N;\N;\N
29104;EVALUATION 6;1;1135;1;22;1755;258;279;9;Insuffisant;2020-2021;2;22/03/2021 09:45;SIXIEME;1ER CYCLE;0;0;2;18;0;\N;\N;\N
