"id_notes";"libelle_notes";"type_notes";"idtype_notes";"idclasse_notes";"idmat_notes";"idprof_notes";"ideleve_notes";"codeEtab_notes";"valeur_notes";"obser_notes";"session_notes";"typesess_notes";"date_notes";"niveau_notes";"cycle_notes";"sousmatiere_notes";"statut_notes";"coef_notes";"notecoef_notes";"nc_notes";"studentmat_notes";"code_notes";"matricule_notes"
"2076";"Synth̬se.";"1";"232";"16";"69";"1735";"1135";"000279";"6";"Faible";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2077";"Synth̬se.";"1";"232";"16";"69";"1735";"1129";"000279";"16";"Bien";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2078";"Synth̬se.";"1";"232";"16";"69";"1735";"1730";"000279";"2";"Mauvais";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2079";"Synth̬se.";"1";"232";"16";"69";"1735";"1126";"000279";"15";"Bien";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2080";"Synth̬se.";"1";"232";"16";"69";"1735";"1120";"000279";"13";"Passable";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2081";"Synth̬se.";"1";"232";"16";"69";"1735";"1249";"000279";"2";"Mauvais";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2082";"Synth̬se.";"1";"232";"16";"69";"1735";"1111";"000279";"17";"Bien";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2083";"Synth̬se.";"1";"232";"16";"69";"1735";"1117";"000279";"12";"Passable";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2084";"Synth̬se.";"1";"232";"16";"69";"1735";"1081";"000279";"10";"Passable";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2085";"Synth̬se.";"1";"232";"16";"69";"1735";"1243";"000279";"12";"Passable";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2086";"Synth̬se.";"1";"232";"16";"69";"1735";"1107";"000279";"14";"Bien";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2087";"Synth̬se.";"1";"232";"16";"69";"1735";"1103";"000279";"17";"Bien";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2088";"Synth̬se.";"1";"232";"16";"69";"1735";"1097";"000279";"13";"Passable";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2089";"Synth̬se.";"1";"232";"16";"69";"1735";"1100";"000279";"14";"Bien";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2090";"Synth̬se.";"1";"232";"16";"69";"1735";"1094";"000279";"18";"Excellent";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2091";"Synth̬se.";"1";"232";"16";"69";"1735";"1237";"000279";"19";"Excellent";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2092";"Synth̬se.";"1";"232";"16";"69";"1735";"1091";"000279";"12";"Passable";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2093";"Synth̬se.";"1";"232";"16";"69";"1735";"1231";"000279";"15";"Bien";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
"2094";"Synth̬se.";"1";"232";"16";"69";"1735";"1219";"000279";"12";"Passable";"2020-2021";"1";"2021-01-23 08:34:54";"SIXIEME";"1ER CYCLE";"29";"0";"0";"0";"0";\N;\N;\N
