1;1;SEMESTRE 1;2;279;2;1ER SEMESTRE;1;1;2020-2021
2;1;SEMESTRE 2;1;279;-1;2EME SEMESTRE;2;2;2020-2021
3;2;TRIMESTRE 1;2;279;4;1ER TRIMESTRE;1;1;2021-2022
4;2;TRIMESTRE 2;1;279;5;2EME TRIMESTRE;2;2;2021-2022
5;2;TRIMESTRE 3;0;279;-1;3EME TRIMESTRE;3;2;2021-2022
