70529;EVALUATION 1;1;3750;38;499;1735;2414;279;13;Assez-bien;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;13;0;\N;\N;\N
70530;EVALUATION 2;1;3751;38;499;1735;2414;279;14;Bien;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;14;0;\N;\N;\N
70531;EVALUATION 3;1;3752;38;499;1735;2414;279;15;Bien;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;15;0;\N;\N;\N
70532;EVALUATION 4;1;3753;38;499;1735;2414;279;7;Tr?s faible;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;2;14;0;\N;\N;\N
70533;EVALUATION 5;1;3754;38;499;1735;2414;279;8;Faible;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;2;16;0;\N;\N;\N
70534;EVALUATION 6;1;3755;38;499;1735;2414;279;10;Passable;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;2;20;0;\N;\N;\N
70535;EVALUATION 7;1;3756;38;499;1735;2414;279;0; ;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;0;1;\N;\N;\N
70536;EVALUATION 8;1;3757;38;499;1735;2414;279;0; ;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;0;1;\N;\N;\N
70537;EVALUATION 9;1;3758;38;499;1735;2414;279;0; ;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;0;1;\N;\N;\N
70538;EVALUATION 10;1;3759;38;499;1735;2414;279;0; ;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;0;1;\N;\N;\N
70539;EVALUATION 1;1;3750;38;499;1735;2423;279;14;Bien;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;14;0;\N;\N;\N
70540;EVALUATION 2;1;3751;38;499;1735;2423;279;14;Bien;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;14;0;\N;\N;\N
70541;EVALUATION 3;1;3752;38;499;1735;2423;279;15;Bien;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;15;0;\N;\N;\N
70542;EVALUATION 4;1;3753;38;499;1735;2423;279;6;Tr?s faible;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;2;12;0;\N;\N;\N
70543;EVALUATION 5;1;3754;38;499;1735;2423;279;8;Faible;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;2;16;0;\N;\N;\N
70544;EVALUATION 6;1;3755;38;499;1735;2423;279;10;Passable;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;2;20;0;\N;\N;\N
70545;EVALUATION 7;1;3756;38;499;1735;2423;279;0; ;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;0;1;\N;\N;\N
70546;EVALUATION 8;1;3757;38;499;1735;2423;279;0; ;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;0;1;\N;\N;\N
70547;EVALUATION 9;1;3758;38;499;1735;2423;279;0; ;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;0;1;\N;\N;\N
70548;EVALUATION 10;1;3759;38;499;1735;2423;279;0; ;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;0;1;\N;\N;\N
70549;EVALUATION 1;1;3750;38;499;1735;2418;279;10;Passable;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;10;0;\N;\N;\N
70550;EVALUATION 2;1;3751;38;499;1735;2418;279;15;Bien;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;15;0;\N;\N;\N
70551;EVALUATION 3;1;3752;38;499;1735;2418;279;14;Bien;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;1;14;0;\N;\N;\N
70552;EVALUATION 4;1;3753;38;499;1735;2418;279;11;Moyen;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;2;22;0;\N;\N;\N
70553;EVALUATION 5;1;3754;38;499;1735;2418;279;8;Faible;2021-2022;3;07/12/2021 15:32;SECONDE;2ND CYCLE;0;0;2;16;0;\N;\N;\N
